2ID	IID	sex
60564	60564	1
60565	60565	2
60566	60566	1
60567	60567	2
60568	60568	2
60569	60569	0
60570	60570	1
60571	60571	2
60572	60572	1
60573	60573	1
60574	60574	1
60575	60575	1
60576	60576	2
60577	60577	1
60578	60578	1
60579	60579	1
60580	60580	2
60581	60581	2
60582	60582	1
60583	60583	2
60584	60584	2
60585	60585	1
60586	60586	1
60587	60587	1
60588	60588	1
60589	60589	1
60590	60590	2
60591	60591	1
60592	60592	2
60593	60593	2
60594	60594	1
60595	60595	2
60596	60596	2
60597	60597	2
60598	60598	2
60599	60599	1
60600	60600	2
60601	60601	1
60602	60602	1
60603	60603	2
60604	60604	1
60605	60605	2
60606	60606	1
60607	60607	2
60608	60608	2
60609	60609	1
60610	60610	1
60611	60611	1
60612	60612	1
60613	60613	2
60614	60614	2
60615	60615	1
60616	60616	1
60617	60617	1
60618	60618	2
60619	60619	2
60620	60620	2
60621	60621	0
60622	60622	2
60623	60623	1
60624	60624	1
60625	60625	2
60626	60626	1
60627	60627	1
60628	60628	2
60629	60629	1
60630	60630	1
60631	60631	1
60632	60632	1
60633	60633	1
60634	60634	2
60635	60635	2
60636	60636	2
60637	60637	2
60638	60638	2
60639	60639	1
60640	60640	1
60641	60641	1
60642	60642	2
60643	60643	1
60644	60644	2
60645	60645	1
60646	60646	2
60647	60647	2
60648	60648	2
60649	60649	2
60650	60650	2
60651	60651	1
60652	60652	1
60653	60653	1
60654	60654	1
60655	60655	2
60656	60656	1
60657	60657	1
60658	60658	1
60659	60659	2
60660	60660	1
60661	60661	1
60662	60662	2
60663	60663	1
60664	60664	2
60665	60665	2
60666	60666	2
60667	60667	1
60668	60668	1
60669	60669	1
60670	60670	1
60671	60671	0
60672	60672	2
60673	60673	1
60674	60674	2
60675	60675	2
60676	60676	1
60677	60677	2
60678	60678	1
60679	60679	2
60680	60680	2
60681	60681	1
60682	60682	2
60683	60683	2
60684	60684	1
60685	60685	1
60686	60686	1
60687	60687	2
60688	60688	2
60689	60689	1
60690	60690	2
60691	60691	1
60692	60692	1
60693	60693	2
60694	60694	1
60695	60695	2
60696	60696	2
60697	60697	1
60698	60698	2
60699	60699	2
60700	60700	2
60701	60701	2
60702	60702	1
60703	60703	2
60704	60704	2
60705	60705	2
60706	60706	1
60707	60707	1
60708	60708	1
60709	60709	2
60710	60710	2
60711	60711	1
60712	60712	1
60713	60713	2
60714	60714	1
60715	60715	1
60716	60716	2
60717	60717	0
60718	60718	2
60719	60719	1
60720	60720	1
60721	60721	2
60722	60722	1
60723	60723	2
60724	60724	2
60725	60725	2
60726	60726	1
60727	60727	2
60728	60728	1
60729	60729	1
60730	60730	2
60731	60731	2
60732	60732	1
60733	60733	1
60734	60734	1
60735	60735	1
60736	60736	2
